edad,salario,departamento,experiencia,satisfaccion
38,86648.0,Marketing,28.0,alta
59,103865.0,Finanzas,31.0,alta
45,83525.0,Finanzas,18.0,media
26,81646.0,IT,20.0,alta
55,39013.0,Ventas,4.0,baja
27,80099.0,IT,17.0,alta
43,127778.0,Gerencia,27.0,media
32,71655.0,RRHH,21.0,media
37,71321.0,Ventas,20.0,alta
54,61314.0,IT,5.0,baja
30,,Marketing,0.0,baja
27,47219.0,Ventas,4.0,baja
37,,Ventas,11.0,media
50,96944.0,IT,25.0,media
24,86856.0,Ventas,33.0,alta
41,65043.0,Marketing,13.0,alta
57,97055.0,Finanzas,25.0,alta
40,79062.0,Ventas,,media
47,70374.0,Finanzas,8.0,alta
24,83930.0,Marketing,,alta
40,84966.0,IT,21.0,alta
41,83581.0,RRHH,29.0,alta
53,57629.0,Ventas,16.0,media
28,74769.0,RRHH,25.0,baja
54,45724.0,Marketing,,media
39,49397.0,Ventas,7.0,media
22,109432.0,Finanzas,34.0,alta
32,115472.0,Gerencia,14.0,media
49,74776.0,RRHH,21.0,media
46,58395.0,Ventas,13.0,alta
44,81615.0,RRHH,25.0,media
52,80156.0,Ventas,27.0,media
51,83575.0,IT,22.0,media
56,81529.0,Finanzas,13.0,media
28,77599.0,RRHH,23.0,alta
37,95999.0,Gerencia,1.0,media
47,125692.0,Gerencia,25.0,alta
23,62678.0,Marketing,13.0,baja
22,48052.0,Ventas,6.0,baja
33,42734.0,RRHH,2.0,baja
26,79116.0,Marketing,22.0,alta
58,66068.0,RRHH,17.0,alta
53,93847.0,Ventas,34.0,alta
30,115771.0,Gerencia,14.0,media
56,88203.0,IT,24.0,
40,,Gerencia,27.0,alta
37,55242.0,Marketing,9.0,alta
24,80925.0,Finanzas,16.0,alta
41,82119.0,IT,21.0,alta
45,78774.0,Marketing,25.0,media
54,69956.0,Ventas,24.0,alta
45,75939.0,IT,16.0,alta
32,61953.0,Marketing,12.0,baja
29,62468.0,Ventas,19.0,media
57,,Gerencia,24.0,alta
59,68735.0,Finanzas,3.0,media
41,46781.0,Ventas,9.0,baja
56,46262.0,RRHH,2.0,media
46,59558.0,Ventas,17.0,media
56,68793.0,Ventas,21.0,
46,109678.0,Finanzas,33.0,media
50,54480.0,RRHH,7.0,media
39,76200.0,Marketing,18.0,media
39,48729.0,Marketing,5.0,media
23,79727.0,Ventas,25.0,alta
56,91085.0,RRHH,33.0,alta
37,52967.0,RRHH,5.0,alta
57,105740.0,Finanzas,32.0,alta
54,118789.0,Gerencia,21.0,media
25,71239.0,Marketing,20.0,alta
54,67870.0,Finanzas,5.0,media
35,57625.0,IT,5.0,baja
42,51973.0,Marketing,3.0,alta
41,107900.0,Finanzas,,alta
29,,Marketing,,media
28,135851.0,Gerencia,29.0,alta
24,101638.0,IT,30.0,alta
38,126070.0,Gerencia,23.0,alta
54,65249.0,IT,8.0,media
33,45110.0,Ventas,2.0,baja
43,107595.0,Finanzas,30.0,alta
43,90794.0,IT,23.0,media
51,136527.0,Gerencia,30.0,alta
59,53257.0,Marketing,5.0,media
59,53469.0,IT,1.0,
29,84391.0,Finanzas,19.0,media
48,94970.0,IT,27.0,alta
48,59175.0,RRHH,10.0,alta
55,54056.0,Marketing,3.0,alta
42,84320.0,Finanzas,14.0,alta
51,71706.0,Finanzas,,baja
54,86491.0,Ventas,29.0,media
49,93312.0,Gerencia,1.0,alta
54,61519.0,Ventas,14.0,
26,74612.0,Finanzas,10.0,media
40,60210.0,Marketing,7.0,baja
25,88698.0,IT,25.0,alta
56,61238.0,IT,4.0,alta
38,53589.0,Marketing,5.0,media
49,98757.0,Finanzas,25.0,alta
51,62205.0,IT,3.0,alta
50,80719.0,IT,18.0,alta
27,78802.0,IT,19.0,alta
56,133986.0,Gerencia,32.0,media
58,117940.0,Gerencia,19.0,alta
45,58409.0,RRHH,11.0,media
50,36072.0,Ventas,0.0,baja
52,80624.0,Marketing,25.0,alta
56,69019.0,Marketing,13.0,alta
54,63125.0,Marketing,,media
42,58291.0,RRHH,12.0,media
53,92033.0,Gerencia,2.0,alta
44,108105.0,Finanzas,32.0,alta
54,63203.0,Finanzas,5.0,media
24,58633.0,RRHH,9.0,baja
39,61574.0,Finanzas,4.0,alta
46,78704.0,Marketing,22.0,media
52,54348.0,Ventas,9.0,media
24,56708.0,IT,1.0,alta
45,109924.0,Gerencia,12.0,alta
53,90328.0,Gerencia,,alta
43,68730.0,RRHH,19.0,media
44,,Gerencia,0.0,alta
23,59114.0,Marketing,8.0,media
48,88539.0,Finanzas,16.0,alta
23,55173.0,Marketing,8.0,media
47,53667.0,RRHH,10.0,alta
38,70829.0,Marketing,14.0,alta
54,93614.0,Finanzas,23.0,alta
30,87553.0,Ventas,34.0,
50,88261.0,RRHH,29.0,alta
47,79000.0,Ventas,30.0,alta
56,65042.0,IT,4.0,media
46,53888.0,Ventas,13.0,baja
45,70450.0,IT,10.0,baja
34,65712.0,IT,,media
28,83867.0,Ventas,33.0,alta
57,61689.0,RRHH,11.0,media
41,115013.0,Finanzas,34.0,media
22,,Marketing,34.0,alta
29,49816.0,Marketing,0.0,baja
37,89272.0,Finanzas,21.0,media
35,95726.0,IT,28.0,alta
33,67732.0,IT,7.0,media
44,56806.0,RRHH,10.0,media
36,106690.0,Gerencia,13.0,alta
49,85608.0,Ventas,29.0,alta
55,103875.0,IT,34.0,alta
23,75592.0,Marketing,20.0,alta
53,44440.0,RRHH,4.0,media
44,68927.0,Ventas,18.0,baja
43,62559.0,RRHH,13.0,alta
46,77510.0,Ventas,25.0,alta
43,44617.0,Ventas,3.0,media
43,100153.0,Finanzas,24.0,media
27,88989.0,IT,24.0,alta
36,71718.0,RRHH,,media
58,53728.0,RRHH,7.0,baja
54,80971.0,Finanzas,13.0,media
29,89363.0,Marketing,31.0,alta
26,89177.0,Marketing,32.0,media
25,87760.0,IT,22.0,alta
27,71011.0,IT,14.0,media
53,138252.0,Gerencia,32.0,alta
51,95399.0,Finanzas,24.0,alta
56,,Marketing,16.0,media
37,90135.0,Ventas,32.0,alta
34,43945.0,RRHH,1.0,baja
51,76070.0,IT,13.0,alta
40,53696.0,RRHH,5.0,media
38,52712.0,RRHH,5.0,alta
40,88406.0,Gerencia,2.0,alta
49,58206.0,Marketing,6.0,alta
47,,IT,7.0,media
58,63243.0,RRHH,14.0,media
47,98542.0,IT,28.0,media
44,87936.0,Ventas,32.0,alta
30,137406.0,Gerencia,29.0,alta
33,76146.0,Ventas,26.0,alta
22,92140.0,IT,28.0,alta
22,102882.0,IT,32.0,alta
55,85012.0,Marketing,26.0,media
53,85963.0,RRHH,32.0,alta
46,48651.0,RRHH,3.0,
22,73064.0,Ventas,21.0,media
37,90110.0,Gerencia,1.0,alta
26,78384.0,Finanzas,9.0,media
43,49894.0,RRHH,4.0,media
50,60811.0,Marketing,9.0,media
24,81105.0,Ventas,32.0,alta
33,56539.0,Ventas,12.0,alta
47,109873.0,Finanzas,30.0,media
37,81287.0,Marketing,23.0,alta
58,108137.0,Gerencia,14.0,alta
43,86445.0,Marketing,28.0,alta
50,99030.0,Gerencia,7.0,alta
35,47286.0,Marketing,4.0,baja
49,89052.0,Marketing,28.0,alta
26,58154.0,IT,3.0,media
51,56602.0,Ventas,11.0,
26,43859.0,Marketing,1.0,baja
33,102105.0,Finanzas,26.0,media
37,93636.0,Marketing,30.0,alta
47,80941.0,RRHH,25.0,alta
47,77047.0,Ventas,26.0,alta
42,51227.0,RRHH,4.0,media
57,66703.0,Ventas,19.0,baja
54,61667.0,RRHH,10.0,alta
51,55298.0,Marketing,9.0,media
58,57100.0,Marketing,5.0,alta
44,65791.0,IT,7.0,media
31,93495.0,Finanzas,22.0,alta
26,84400.0,RRHH,25.0,media
57,107784.0,Gerencia,11.0,alta
55,94785.0,IT,25.0,alta
52,56300.0,RRHH,12.0,alta
31,69369.0,RRHH,17.0,alta
40,95435.0,IT,24.0,alta
53,91097.0,Marketing,32.0,alta
22,,RRHH,11.0,baja
26,44509.0,Marketing,3.0,baja
25,61752.0,IT,,media
37,60352.0,Marketing,7.0,alta
45,,Ventas,27.0,media
37,134815.0,Gerencia,30.0,alta
23,50072.0,RRHH,8.0,alta
49,100225.0,Finanzas,28.0,alta
53,105816.0,Gerencia,13.0,alta
48,77199.0,Marketing,,alta
41,58807.0,RRHH,10.0,media
45,79674.0,Marketing,22.0,alta
33,36683.0,Ventas,0.0,
56,87227.0,IT,20.0,media
54,77773.0,RRHH,25.0,media
54,73000.0,Ventas,22.0,media
58,33145.0,Ventas,0.0,baja
33,63010.0,RRHH,14.0,media
24,73040.0,Marketing,20.0,media
22,76654.0,Finanzas,8.0,alta
54,54776.0,Ventas,8.0,alta
31,98982.0,Gerencia,9.0,alta
50,73679.0,Ventas,25.0,baja
34,107249.0,Finanzas,34.0,alta
33,76630.0,Marketing,24.0,alta
52,,Marketing,25.0,media
23,102852.0,Gerencia,10.0,alta
56,,Ventas,1.0,media
44,56622.0,Marketing,6.0,alta
38,87827.0,Finanzas,17.0,alta
47,85738.0,RRHH,26.0,media
29,108341.0,IT,33.0,
50,98160.0,IT,26.0,alta
47,75100.0,IT,16.0,media
31,74152.0,Ventas,23.0,baja
47,129632.0,Gerencia,24.0,media
55,56421.0,Marketing,6.0,alta
28,,RRHH,5.0,baja
25,90269.0,Finanzas,23.0,media
32,86343.0,RRHH,32.0,media
50,101358.0,Finanzas,28.0,alta
57,74269.0,Ventas,21.0,alta
46,94280.0,IT,25.0,alta
42,80102.0,Ventas,27.0,media
57,117349.0,Gerencia,20.0,alta
31,99699.0,Gerencia,,alta
58,80241.0,Finanzas,16.0,alta
30,69625.0,Marketing,19.0,
45,77882.0,Marketing,19.0,media
56,93264.0,Finanzas,21.0,alta
56,130601.0,Gerencia,27.0,media
57,101843.0,Gerencia,6.0,media
39,85072.0,Gerencia,0.0,alta
53,84972.0,Ventas,31.0,alta
45,108189.0,Gerencia,12.0,alta
44,82972.0,RRHH,29.0,
53,83707.0,IT,22.0,alta
58,113804.0,Gerencia,18.0,alta
33,108204.0,Finanzas,31.0,media
34,97213.0,IT,29.0,alta
44,80051.0,Ventas,28.0,media
46,99475.0,Finanzas,28.0,alta
56,97110.0,IT,29.0,alta
51,81755.0,Finanzas,15.0,alta
38,,Ventas,,media
41,64235.0,RRHH,17.0,alta
46,42777.0,Ventas,0.0,baja
43,60758.0,Ventas,13.0,baja
34,64479.0,Finanzas,,alta
40,82928.0,Marketing,27.0,media
57,135926.0,Gerencia,29.0,alta
33,98033.0,Gerencia,,alta
40,42249.0,RRHH,0.0,media
33,52791.0,RRHH,7.0,baja
30,129817.0,Gerencia,28.0,alta
28,52424.0,Marketing,2.0,alta
49,135374.0,Gerencia,31.0,alta
35,63186.0,Marketing,9.0,media
52,54711.0,RRHH,9.0,alta
40,77661.0,IT,18.0,media
37,107874.0,Finanzas,33.0,media
26,94208.0,RRHH,32.0,alta
56,70207.0,RRHH,22.0,baja
33,76165.0,Ventas,27.0,alta
46,81993.0,Ventas,31.0,
42,48813.0,Ventas,6.0,baja
57,97632.0,Finanzas,28.0,alta
44,46583.0,Ventas,7.0,media
37,43719.0,Marketing,,baja
35,95123.0,Gerencia,2.0,alta
52,86179.0,IT,23.0,alta
26,70236.0,RRHH,22.0,
56,57946.0,Marketing,7.0,media
44,57443.0,IT,2.0,media
50,94770.0,Marketing,32.0,alta
32,90232.0,Marketing,27.0,media
39,53599.0,RRHH,7.0,alta
33,143055.0,Gerencia,33.0,alta
30,86368.0,Ventas,34.0,alta
31,101785.0,Finanzas,31.0,media
38,119648.0,Gerencia,23.0,media
59,78537.0,Finanzas,13.0,alta
28,90049.0,RRHH,,alta
34,66621.0,RRHH,15.0,alta
30,51458.0,RRHH,3.0,media
48,,IT,,media
